Date,ICCO daily price (US$/tonne),TAVG,TMIN,TMAX,PRCP
2018-09-11,2233.4,77.42857142857143,75,85,0.055999999999999994
2018-09-10,2246.06,78.71428571428571,73.71428571428571,85.83333333333333,0.15833333333333333
2018-09-07,2214.13,78.55555555555556,74,83.875,0.292
2018-09-06,2233.09,78.25,73.66666666666667,83.93055555555556,0
2018-09-05,2254.5,77.625,73.16666666666667,82.33333333333333,0.08
2018-09-04,2271.3500000000004,77.5,73.85714285714286,83.5,0.13999999999999999
2018-09-03,2260.77,79.33333333333333,73.5,85.25,0.062
2018-08-31,2281.3,77.6,72.5,84.33333333333333,0.51
2018-08-30,2239.2599999999998,76.66666666666667,73.5,83.34722222222223,0
2018-08-29,2299.07,77.71428571428571,73.16666666666667,84.5,0
2018-08-28,2278.75,77.375,72,83.71428571428571,0.026666666666666665
2018-08-27,2294.7,78.75,72.33333333333333,85.33333333333333,0.06
2018-08-24,2308.5,77.5,73.25,82.28571428571429,0.2366666666666667
2018-08-23,2285.4300000000003,79.57142857142857,74,84,0.435
2018-08-22,2262.7,76.5,72,85.55462962962963,1.79
2018-08-21,2211.54,78.25,73.16666666666667,85.28571428571429,0.06
2018-08-20,2156.9300000000003,78.77777777777777,73,85.77777777777777,0.12
2018-08-17,2118.42,78.5,74,87.75,0.02
2018-08-16,2123.46,78.57142857142857,74.16666666666667,86,0.05666666666666667
2018-08-15,2109.66,78.88888888888889,73.16666666666667,87,0
2018-08-14,2080.84,77.5,72,84.625,0.6125
2018-08-13,2086.18,76.33333333333333,73,86.23849206349206,0.04
2018-08-10,2082.42,79.22222222222223,73.14285714285714,86.71428571428571,0.12
2018-08-09,2088.82,79,73.25,85.875,0
2018-08-08,2110.4500000000003,80.66666666666667,71.85714285714286,87.88888888888889,0
2018-08-07,2104.8,77.71428571428571,71,82.71428571428571,0
2018-08-06,2135.3100000000004,78.22222222222223,70,84.85714285714286,0
2018-08-03,2081.92,78.5,71.71428571428571,84.4,0
2018-08-02,2105.06,76.66666666666667,70,85.33333333333333,0
2018-08-01,2101.51,78.42857142857143,70.16666666666667,86.83333333333333,0
2018-07-31,2179.75,77.625,71.28571428571429,85.5,0.02
2018-07-30,2239.25,78.75,72.5,87.2,0
2018-07-27,2235.64,78.5,73,83.30071428571429,0
2018-07-26,2299.1,78.375,74.125,84.42857142857143,0.1983333333333333
2018-07-25,2245.27,77.375,73.85714285714286,82,0.48250000000000004
2018-07-24,2248.2599999999998,78.625,75.5,83.65138888888889,0
2018-07-23,2281.14,79.7,74.5,84.875,0
2018-07-20,2306.67,77.75,74.5,83.33333333333333,0.09333333333333334
2018-07-19,2277.92,78.5,73.6875,86,0
2018-07-18,2313.38,78.75,74.125,82.5,0.08
2018-07-17,2369.7599999999998,77.5,75.5,85.10357142857143,0.35
2018-07-16,2386.23,78.11111111111111,74,84.625,0.142
2018-07-13,2473.27,79.66666666666667,73,85.375,0.40571428571428575
2018-07-12,2443.9700000000003,76.71428571428571,73.83333333333333,85.24583333333334,0.1475
2018-07-11,2444.57,78.66666666666667,73.55555555555556,86.25,0.29200000000000004
2018-07-10,2468.11,78.375,73,85.2,0.5666666666666667
2018-07-09,2421.59,78.66666666666667,73.71428571428571,85,0.3
2018-07-06,2435.77,75.83333333333333,72.5,85.4,0.9116666666666666
2018-07-05,2451.11,78.22222222222223,73.71428571428571,84.2,0.026666666666666665
2018-07-04,2438.4300000000003,79.4,74.66666666666667,86.2,0.026666666666666665
2018-07-03,2427.61,79.14285714285714,73.85714285714286,83.80625,0.415
2018-07-02,2468.24,76.25,72,84,1.025
2018-06-29,2476.7599999999998,77.66666666666667,71.55555555555556,85.625,0.9271428571428573
2018-06-28,2428.27,78.75,73.33333333333333,84.8,0.0016666666666666666
2018-06-27,2369.74,78,71.375,84.8,0.6271428571428571
2018-06-26,2454.64,78.3,71.28571428571429,85.5,0
2018-06-25,2469.44,79.1,72.33333333333333,85.9,0.12
2018-06-22,2480.2799999999997,77.22222222222223,73.11111111111111,85.85069444444444,0.315
2018-06-21,2483.06,78,73.42857142857143,85.85069444444444,0.145
2018-06-20,2512.88,78.7,71.83333333333333,85.11111111111111,0.14
2018-06-19,2421.3300000000004,78.5,74.13472222222222,84.125,0
2018-06-18,2432.84,79.6,74.375,84.83333333333333,0.08571428571428572
2018-06-15,2474.5,80.28571428571429,72.33333333333333,87.9675925925926,0.9566666666666667
2018-06-14,2387.75,83.5,75.375,89.22222222222223,0.015
2018-06-13,2340.9,81.88888888888889,76.125,88.33333333333333,0
2018-06-12,2390.29,80,74.28571428571429,89.33333333333333,0.30333333333333334
2018-06-11,2366.67,80.66666666666667,73.16666666666667,88.55555555555556,0.5425
2018-06-08,2379.6,82.22222222222223,74.5,89.77777777777777,0
2018-06-07,2291.3700000000003,78.33333333333333,71.375,88.72873015873016,1.0766666666666667
2018-06-06,2319.9700000000003,77.75,74.20734126984127,89.5,0
2018-06-05,2316,82.5,74.71428571428571,89.6,0
2018-06-04,2366.64,80.85714285714286,73.33333333333333,88.57142857142857,0.1375
2018-06-01,2463.02,82,74.85714285714286,88.22222222222223,0.01625
2018-05-31,2463.66,79.22222222222223,73.125,88.22222222222223,0.31125
2018-05-30,2530.27,80.44444444444444,75.25,86.625,0.35
2018-05-29,2505.8700000000003,81.5,75.77777777777777,89.5,0.05166666666666666
2018-05-25,2558.55,79.85714285714286,75.95337301587301,89.5,0.3725
2018-05-24,2593.8100000000004,82,74.5,90.19107142857143,1.28
2018-05-23,2608.5,82.44444444444444,75.57142857142857,90.57142857142857,0.042
2018-05-22,2587.46,82.25,76.625,91.375,0.04
2018-05-21,2602,83.8,78.33333333333333,89.2,0.04
2018-05-18,2638.7,78.22222222222223,69.85714285714286,88,0.67
2018-05-17,2608.62,78.4,76,87.42857142857143,0.5700000000000001
2018-05-16,2682.58,84,73.33465608465609,92,0
2018-05-15,2637.8700000000003,82.22222222222223,76.55555555555556,89.88888888888889,0.022857142857142857
2018-05-14,2735.52,81.77777777777777,72.83333333333333,87.54034391534391,0.0275
2018-05-11,2757.9100000000003,75.33333333333333,71.25,79.11111111111111,1.4457142857142857
2018-05-10,2719.4700000000003,83.28571428571429,76.33333333333333,92.16666666666667,0.06
2018-05-09,2727.9300000000003,81.5,70.66666666666667,89.25,0.7449999999999999
2018-05-08,2731.04,81.44444444444444,75,90.71428571428571,0
2018-05-07,2775.24,82.9,74.33333333333333,92,0
2018-05-04,2734,80.75,75,92.33333333333333,0.04
2018-05-03,2767.13,80.33333333333333,74.5,93,0.63
2018-05-02,2752.98,84.375,75.80416666666667,92.25,0
2018-05-01,2799.5,84,79,92.25,0
2018-04-30,2746.23,83,74.75,90,0.23500000000000001
2018-04-27,2741.3700000000003,86.5,75.05297619047619,92.25,0
2018-04-26,2730.92,84,73.8,92.66666666666667,0.73
2018-04-25,2745.07,82.125,77.5,91.10714285714286,0
2018-04-24,2735.19,84.125,76.71428571428571,91.28571428571429,0.195
2018-04-23,2669.03,83,75.625,91,0.15750000000000003
2018-04-20,2673.94,79.88888888888889,73,91.28571428571429,0.27666666666666667
2018-04-19,2751.73,85,75.44265873015873,92.07261904761904,0
2018-04-18,2753.51,85,75.50968253968253,91.66666666666667,0
2018-04-17,2674.61,84.11111111111111,75.77777777777777,91.57142857142857,0.9866666666666666
2018-04-16,2682.65,81.33333333333333,74.75412698412698,92.66666666666667,0
2018-04-13,2549.32,82.625,76.6,92.125,0
2018-04-12,2538.9,84.1,75.77777777777777,92,0
2018-04-11,2555.02,83,72,91.57142857142857,1.14
2018-04-10,2503.06,78.5,75.68333333333334,84.8,0
2018-04-09,2516.64,84.11111111111111,75,90.875,0.039999999999999994
2018-04-06,2462.02,82.2,76.25,92,0
2018-04-05,2503.56,85.5,77.0734126984127,91.71428571428571,0
2018-04-04,2503.8700000000003,84.33333333333333,77.16666666666667,93.57142857142857,0.23
2018-04-03,2508.7799999999997,84.55555555555556,77.66666666666667,91.42592592592592,0
2018-04-02,2574.03,84.7,78.625,90.77777777777777,0.09333333333333335
2018-03-29,2540.4100000000003,82.55555555555556,77.5,91.46944444444445,0
2018-03-28,2595.92,83.2,77.85714285714286,91.5,0
2018-03-27,2566.84,85,75.04814814814814,90.75,0
2018-03-26,2641.3300000000004,84.2,75.55555555555556,92.7,0
2018-03-23,2634.29,81.5,74.6,93,0
2018-03-22,2555.3100000000004,82.88888888888889,73.8,92.57142857142857,0.7866666666666667
2018-03-21,2542.9900000000002,84.125,76.83333333333333,93.28571428571429,0
2018-03-20,2501.57,83.625,76,93.25,0.22333333333333333
2018-03-19,2466.72,81.875,76,92,0.08
2018-03-16,2538.05,82.6,78.5,92.77777777777777,0
2018-03-15,2538.22,84.6,75.75,92.9,0.4425
2018-03-14,2546.98,84.77777777777777,75,92.85714285714286,0.21749999999999997
2018-03-13,2531.1,84.4,75.18,92.71428571428571,0
2018-03-12,2535.3700000000003,84.875,75.85714285714286,92.875,0.09
2018-03-09,2460.53,83.2,75.71428571428571,92,0.26
2018-03-08,2489.36,85.11111111111111,75.4,91.5,0.28
2018-03-07,2441.34,83.77777777777777,75.5,92.66666666666667,0
2018-03-06,2440.65,81.7,72,93.4,0.7975
2018-03-05,2429.98,81.71428571428571,72.2,93.25238095238095,0.20400000000000001
2018-03-02,2320.7,84.625,75.0327380952381,93,0
2018-03-01,2265.3100000000004,81.66666666666667,74.33333333333333,92.71428571428571,0.05
2018-02-28,2229.72,83.33333333333333,73.5,92.83333333333333,0.05333333333333333
2018-02-27,2235.88,82.22222222222223,75.16666666666667,91.74910714285714,0.002
2018-02-26,2225.3700000000003,80.44444444444444,73.57142857142857,86,0.945
2018-02-23,2209.04,84.33333333333333,76.5,94.625,0
2018-02-22,2170.8700000000003,83.75,75,93.40648148148148,0
2018-02-21,2187.94,80.71428571428571,70.85714285714286,92.8,0.69
2018-02-20,2164.73,78.66666666666667,76.80642857142857,88.66666666666667,0
2018-02-19,2151.94,84.9,73.85714285714286,94.22222222222223,0
2018-02-16,2152.74,86.6,78.125,96.75,0
2018-02-15,2149.08,87.5,76.87833333333333,95.66666666666667,0
2018-02-14,2096.42,84.77777777777777,77,95.57142857142857,0
2018-02-13,2043.1799999999998,85.25,76.6,96.66666666666667,0
2018-02-12,2012.11,87.5,75.66666666666667,97.33333333333333,0
2018-02-09,2063.9700000000003,86.3,78,95.5,0
2018-02-08,2063.5,86.55555555555556,78.16666666666667,95.75,0
2018-02-07,2042.9,85.55555555555556,77.83333333333333,94.42857142857143,0.04
2018-02-06,2067.3900000000003,86.5,77.28571428571429,96.85714285714286,0
2018-02-05,2068.59,87.625,77.71428571428571,97.28571428571429,0
2018-02-02,2081.8500000000004,84.55555555555556,76.71428571428571,93.83333333333333,0
2018-02-01,2038.76,84.77777777777777,76.14285714285714,93.16666666666667,0
2018-01-31,2013.7,85.44444444444444,74.83333333333333,92.625,0
2018-01-30,1993.24,83.55555555555556,72.6,93.44444444444444,0
2018-01-29,1963.85,84,73.75,92.14285714285714,0
2018-01-26,2005.28,81.66666666666667,70.42857142857143,91.88888888888889,4.02
2018-01-25,1977.04,81.2,73.4,88.44444444444444,0
2018-01-24,1976.02,80.88888888888889,72,90,0
2018-01-23,1949.8799999999999,82.5,72.85714285714286,92.6,0
2018-01-22,1960.28,84.44444444444444,73.45166666666667,92.88888888888889,0
2018-01-19,1951.37,82.88888888888889,72.8,94.5,0
2018-01-18,1997.1799999999998,83.11111111111111,73.625,93.11111111111111,0
2018-01-17,2002.1,81.77777777777777,74,89.875,0
2018-01-16,1951.6599999999999,82.6,73.83333333333333,91.125,0
2018-01-15,1957.84,81.22222222222223,67.6,90.83333333333333,0
2018-01-12,1929.37,80.375,72.625,93,0
2018-01-11,1933.58,83,72,92.22222222222223,0
2018-01-10,1944.57,85,74.33333333333333,92,0.35
2018-01-09,1906.6899999999998,83,71.47850529100529,90.2824074074074,0
2018-01-08,1908.56,82.5,73.88888888888889,90.625,0.12
2018-01-05,1895.86,81.88888888888889,70.85714285714286,90.77777777777777,0
2018-01-04,1897.96,79.3,70.125,91,0
2018-01-03,1896.29,80.2,69,89.88888888888889,0
2018-01-02,1930.98,77.57142857142857,68.8,90.57142857142857,0
2017-12-29,1899.06,79.33333333333333,74,89.6,0
2017-12-28,1906.56,81,71.5,90.4,0
2017-12-27,1871.25,82.77777777777777,72.16666666666667,91.125,0
2017-12-26,1867.1799999999998,82.6,69.5,90.88888888888889,0
2017-12-22,1855.7,80.33333333333333,74.7297619047619,89,0
2017-12-21,1916.34,81.33333333333333,71,87.66666666666667,0.275
2017-12-20,1932.78,80.375,74.85714285714286,87.5,0.16333333333333333
2017-12-19,1913.93,80.33333333333333,75.66666666666667,89.14285714285714,0.33999999999999997
2017-12-18,1934.3799999999999,82.875,77.125,90.57142857142857,0
2017-12-15,1898.1,82.66666666666667,80,90.28571428571429,0
2017-12-14,1905.78,82.875,75.5,89.25849206349206,0
2017-12-13,1911.95,82.77777777777777,75,90.88888888888889,0
2017-12-12,1891.7,83.25,74,89.75,0
2017-12-11,1931.35,80.7,71.22222222222223,88.42857142857143,0
2017-12-08,1910.75,80.33333333333333,72.57142857142857,89.625,0.385
2017-12-07,1892.23,81.66666666666667,75.83333333333333,88.5,0
2017-12-06,1915.93,83.7,75.33333333333333,90.77777777777777,1.14
2017-12-05,1946.47,82.11111111111111,75.57142857142857,90.28571428571429,0
2017-12-04,2006.23,81.875,74.25,91.4,0.02
2017-12-01,2046,84.77777777777777,73.12579365079365,91.11111111111111,0
2017-11-30,2056.66,82.8,73.625,92.875,0
2017-11-29,2105.65,79.88888888888889,72.16666666666667,89.71428571428571,0
2017-11-28,2052.5,80,72.44444444444444,89.5,0
2017-11-27,2080.72,83.6,74.14285714285714,90.66666666666667,0.2
2017-11-24,2119.73,78.33333333333333,73,89.31415343915344,0.35333333333333333
2017-11-23,2127.4900000000002,79.44444444444444,74,88.33333333333333,0
2017-11-22,2138.13,81.11111111111111,75.5,89.44444444444444,0
2017-11-21,2124.3100000000004,81.75,75,89.25,0
2017-11-20,2111.08,81,73.87714285714286,89,0
2017-11-17,2148.63,82.1,72.28571428571429,89.5,0.4966666666666667
2017-11-16,2159.12,81.625,75.48666666666666,88.33333333333333,0
2017-11-15,2151.05,82.375,73.6,90.5,0.015
2017-11-14,2157.21,82.75,75.33333333333333,90.5,0.1
2017-11-13,2194.24,83.5,77.66666666666667,90.65873015873015,0
2017-11-10,2212.71,NA,NA,NA,NA
2017-11-09,2182.3700000000003,NA,NA,NA,NA
2017-11-08,2183.3300000000004,81.33333333333333,73.83333333333333,90.5,0.005
2017-11-07,2145.17,NA,NA,NA,NA
2017-11-06,2115.9,NA,NA,NA,NA
2017-11-03,2064.12,NA,NA,NA,NA
2017-11-02,2061.38,84,74.35138888888889,90.2251984126984,0
2017-11-01,2122.32,82.28571428571429,74.4,91.14285714285714,0.005
2017-10-31,2095.5,81,75.77777777777777,90.33333333333333,0.12
2017-10-30,2114.8500000000004,82.77777777777777,75.25,91.6,0.0075
2017-10-27,2108.5,81.1,74.55555555555556,89.5,0
2017-10-26,2122.62,83.33333333333333,75,90.6,0.09
