Month,Mid.Rate,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,Cocoa_Trend,logprice,Price_NY,log_return_rate,Is_Holiday,YEAR,MONTH_NUM
2012-03-01,1.698135483870968,27.251290322580644,33.0141935483871,22.771290322580644,2.2112903225806453,18.484193548387097,21.0,7.753177679594929,2329.6664516129035,-0.06933968535165141,0,2012,3
2012-04-01,1.7540433333333332,27.087666666666667,32.483,23.056333333333335,2.7456666666666667,17.966666666666665,21.0,7.699915508085383,2209.401,0.0019453379812591162,1,2012,4
2012-05-01,1.8292193548387095,26.13193548387097,30.67806451612903,22.681612903225805,7.260967741935484,18.210967741935484,20.0,7.715251231832104,2244.1774193548385,-0.10755762178262086,0,2012,5
2012-06-01,1.8841533333333333,24.478333333333335,27.708666666666666,21.848666666666666,9.787333333333333,14.923333333333334,19.0,7.691590391264516,2190.8656666666666,0.10317810679108322,0,2012,6
2012-07-01,1.9138387096774194,23.739032258064515,27.62548387096774,20.620645161290323,3.669032258064516,14.067741935483872,20.0,7.73240456206033,2281.667419354839,0.03620759849631748,0,2012,7
2012-08-01,1.9264999999999999,23.831290322580646,28.12483870967742,20.351935483870967,1.4306451612903226,13.672580645161291,21.0,7.803714987222967,2450.483548387097,0.0812326008465378,0,2012,8
2012-09-01,1.9091866666666666,24.973000000000003,29.397333333333332,21.384333333333334,4.914333333333333,14.522,21.0,7.857314635852841,2585.4553333333333,-0.03733506790485307,0,2012,9
2012-10-01,1.8924451612903226,24.970322580645163,28.854193548387098,21.860967741935486,11.128387096774194,16.473870967741934,21.0,7.791113295811147,2419.376451612903,-0.024746898346428826,1,2012,10
2012-11-01,1.8781700000000001,25.440333333333335,29.555,21.888333333333332,2.896666666666667,17.609333333333332,22.0,7.800797039610062,2443.0446666666667,0.03310579511869119,1,2012,11
2012-12-01,1.8841677419354839,25.080000000000002,29.913548387096775,20.645806451612902,0.8106451612903226,17.238064516129032,18.0,7.774274858917902,2380.011290322581,-0.11330890878804625,1,2012,12
2013-01-01,1.8961,25.813225806451616,32.95258064516129,19.869032258064518,0.6774193548387096,19.062903225806455,20.0,7.714872009653216,2241.769677419355,-0.015902822691959927,0,2013,1
2013-02-01,1.904425,27.351428571428574,33.559285714285714,22.465714285714284,2.879642857142857,18.368214285714284,21.0,7.6847948491413645,2175.3517857142856,-0.02942741078315938,0,2013,2
2013-03-01,1.9249258064516128,26.953548387096774,31.59741935483871,23.199032258064516,3.4296774193548383,19.318709677419356,20.0,7.666144466360519,2135.1932258064517,0.04238213539249096,1,2013,3
2013-04-01,1.94587,26.724333333333334,31.432000000000002,22.96466666666667,2.9103333333333334,20.178,17.0,7.7295332979632,2275.8779999999997,0.07740467718439628,1,2013,4
2013-05-01,1.9624322580645162,26.378064516129033,31.03258064516129,22.749354838709678,4.589677419354839,17.883548387096774,20.0,7.75010226981474,2322.7848387096774,-0.09539566166085298,0,2013,5
2013-06-01,1.9850266666666667,25.240666666666666,29.601,21.67866666666667,2.815,16.229666666666667,20.0,7.716873735932529,2247.2786666666666,-0.012184794263382695,0,2013,6
2013-07-01,1.9919193548387095,24.360645161290325,29.000967741935483,20.92838709677419,3.7441935483870967,14.064838709677419,21.0,7.730858774045159,2278.5590322580647,0.06574590193385713,0,2013,7
2013-08-01,1.9962483870967742,25.288709677419355,31.34903225806452,20.53806451612903,0.5870967741935483,14.317741935483872,19.0,7.8026680220072375,2448.0103225806456,0.05336233375539402,0,2013,8
2013-09-01,1.9977633333333331,26.081,31.719333333333335,21.839666666666666,4.835,14.620333333333333,18.0,7.8561433156012415,2582.2226666666666,0.07885328665371773,0,2013,9
2013-10-01,2.003593548387097,25.821290322580648,30.746451612903225,21.75483870967742,5.1896774193548385,16.536451612903225,22.0,7.9003717671879015,2698.7212903225804,0.015825499833797517,1,2013,10
2013-11-01,2.06008,25.907,30.793666666666663,21.853333333333335,3.1069999999999998,16.429666666666666,21.0,7.910475981614813,2726.4056666666665,0.047420887396518015,1,2013,11
2013-12-01,2.1115387096774194,26.25774193548387,33.1174193548387,20.615806451612904,0.44870967741935486,16.89548387096774,20.0,7.9314969646314815,2783.7200000000003,-0.026189695436283477,1,2013,12
2014-01-01,2.2805387096774195,28.056774193548385,34.80096774193548,22.47451612903226,0.529032258064516,17.131612903225808,20.0,7.91958883474069,2751.758387096774,0.06928889682691688,0,2014,1
2014-02-01,2.439085714285714,29.298214285714288,35.96071428571428,23.665,0.8582142857142857,17.59285714285714,24.0,7.985556298815501,2938.297857142857,0.01648307453146467,0,2014,2
2014-03-01,2.579945161290323,27.23483870967742,32.593870967741935,23.212903225806453,3.990322580645161,19.061935483870965,22.0,8.000061306701431,2981.2477419354836,0.0022536343886906725,0,2014,3
2014-04-01,2.7428133333333333,26.636000000000003,31.09733333333333,23.170333333333335,5.7683333333333335,20.523666666666667,20.0,8.00166957356065,2986.055,0.008304585600439928,1,2014,4
2014-05-01,2.857467741935484,26.018709677419356,29.595806451612905,22.95967741935484,4.244193548387097,17.504193548387097,21.0,7.99188462446926,2957.4945161290325,0.04459623465244876,0,2014,5
2014-06-01,2.9845566666666667,25.267,28.721666666666668,22.517666666666667,8.904666666666666,16.666666666666668,20.0,8.036946903713469,3093.2556666666665,0.02055941945848938,0,2014,6
2014-07-01,3.024583870967742,24.48709677419355,28.41741935483871,21.36741935483871,3.3925806451612903,14.551935483870968,21.0,8.043302063576741,3113.069677419355,0.020213420388848897,0,2014,7
2014-08-01,3.0595870967741936,24.130967741935482,28.424838709677417,20.753225806451614,3.1270967741935483,14.114193548387098,20.0,8.072078303415353,3203.8051612903223,0.008766493212182593,0,2014,8
2014-09-01,3.1908933333333334,24.379666666666665,28.244333333333334,21.346333333333334,6.425666666666667,14.563333333333333,20.0,8.057976646402123,3160.3830000000003,0.02624578011735008,0,2014,9
2014-10-01,3.196516129032258,25.078064516129032,29.17806451612903,21.67032258064516,5.324838709677419,16.69,32.0,8.022312044372617,3048.9035483870966,-0.08644416191816412,1,2014,10
2014-11-01,3.1968933333333336,25.267666666666667,29.508666666666667,21.556333333333335,2.809,17.50133333333333,26.0,7.955307271996058,2850.8340000000003,-0.013352105031789067,1,2014,11
2014-12-01,3.1975193548387093,25.81451612903226,32.02193548387097,20.578709677419354,0.9567741935483871,17.10516129032258,23.0,7.974705448681656,2906.763225806452,0.0019604696882875973,1,2014,12
2015-01-01,3.217658064516129,25.96225806451613,33.880967741935486,19.787096774193547,0.37774193548387097,17.666451612903224,24.0,7.960718319570431,2867.796774193548,-0.07282329219502197,0,2015,1
2015-02-01,3.3593321428571428,27.274642857142855,33.03142857142857,22.8675,2.9657142857142853,17.259642857142858,24.0,7.965183573046348,2880.75,0.1087837476282934,0,2015,2
2015-03-01,3.585406451612903,27.18516129032258,32.30193548387097,23.376129032258063,6.290645161290323,18.42548387096774,22.0,7.946621358656067,2827.623225806452,-0.10433545714529077,1,2015,3
2015-04-01,3.8077633333333334,26.083666666666666,30.025,22.921333333333333,5.374666666666667,19.233,22.0,7.941641815952642,2812.478666666667,0.06540316363786426,1,2015,4
